bill_num,year,chamber,policy_area,note,verified
1036,2022,Senate-side,,,YES
1054,2022,Senate-side,,,YES
1064,2022,Senate-side,,,YES
1305,2022,Senate-side,,,YES
1363,2022,Senate-side,,,YES
1414,2022,Senate-side,,,YES
1095,2022,House-side,,,YES
1258,2022,House-side,,,YES
1218,2022,Veto,,,YES
1221,2022,Veto,,,YES
1387,2022,Veto,,,YES
1399,2022,Veto,,,YES
1048,2022,Session-end,,,YES
1417,2022,Session-end,,,YES
1028,2023,Senate-side,Other,,YES
1065,2023,Senate-side,Ethics & governance,,YES
1066,2023,Senate-side,Other,,YES
1078,2023,Senate-side,Workers & labor,,YES
1090,2023,Senate-side,Ethics & governance,,YES
1115,2023,Senate-side,Housing & tenancy,,YES
1165,2023,Senate-side,Firearms & public safety,,YES
1171,2023,Senate-side,Housing & tenancy,,YES
1202,2023,Senate-side,Public health & harm reduction,,YES
1206,2023,Senate-side,Ethics & governance,,YES
1159,2023,House-side,,,YES
1146,2023,Veto,,,YES
1147,2023,Veto,,,YES
1190,2023,Veto,,,YES
1214,2023,Veto,,,YES
1258,2023,Veto,,,YES
1259,2023,Veto,,,YES
1020,2023,Session-end,,,YES
1209,2023,Session-end,,,YES
1005,2024,Senate-side,,,YES
1014,2024,Senate-side,,,YES
1028,2024,Senate-side,,,YES
1085,2024,Senate-side,,,YES
1148,2024,Senate-side,,,YES
1151,2024,Senate-side,,,YES
1171,2024,Senate-side,,,YES
1292,2024,Senate-side,,,YES
1296,2024,Senate-side,,,YES
1300,2024,Senate-side,,,YES
1373,2024,Senate-side,,,YES
1433,2024,Senate-side,,,YES
1158,2024,House-side,,,YES
1177,2024,House-side,,,YES
1460,2024,House-side,,,YES
1008,2024,Veto,,,YES
1010,2024,Veto,,,YES
1080,2024,Veto,,,YES
1260,2024,Veto,,,YES
1307,2024,Veto,,,YES
1022,2024,Session-end,,,YES
1057,2024,Session-end,,,YES
1075,2024,Session-end,,,YES
1230,2024,Session-end,,,YES
1245,2024,Session-end,,,YES
1247,2024,Session-end,,,YES
1270,2024,Session-end,,,YES
1429,2024,Session-end,,,YES
1447,2024,Session-end,,,YES
