bill_num,year,party,sponsor
1001,2022,D,CUTTER
1002,2022,D,WEISSMAN
1003,2022,D,DAUGHERTY
1004,2022,D,ORTIZ
1005,2022,D,MCCLUSKIE
1006,2022,D,ROBERTS
1007,2022,D,VALDEZ D.
1008,2022,D,TIPPER
1009,2022,D,GRAY
1010,2022,D,SIROTA
1011,2022,D,CUTTER
1012,2022,D,CUTTER
1013,2022,R,PELTON
1014,2022,D,JODEH
1015,2022,R,LUCK
1016,2022,R,CARVER
1017,2022,D,BIRD
1018,2022,D,KENNEDY
1019,2022,R,LARSON
1020,2022,R,WOOG
1021,2022,R,RANSOM
1022,2022,D,ROBERTS
1023,2022,D,BENAVIDEZ
1024,2022,D,BIRD
1025,2022,D,BENAVIDEZ
1026,2022,D,BIRD
1027,2022,R,VAN WINKLE
1028,2022,D,GRAY
1029,2022,D,BIRD
1030,2022,D,VALDEZ A.
1031,2022,D,TITONE
1032,2022,R,BOCKENFELD
1033,2022,R,HANKS
1034,2022,D,BIRD
1035,2022,D,YOUNG
1036,2022,D,SNYDER
1037,2022,D,HOOTON
1038,2022,D,DAUGHERTY
1039,2022,D,KIPP
1040,2022,R,RICH
1041,2022,D,BOESENECKER
1042,2022,D,EXUM
1043,2022,R,PICO
1044,2022,R,WILLIAMS
1045,2022,R,HOLTORF
1046,2022,D,MCLACHLAN
1047,2022,R,NEVILLE
1048,2022,R,BAISLEY
1049,2022,D,BACON
1050,2022,D,RICKS
1051,2022,D,BIRD
1052,2022,D,MCLACHLAN
1053,2022,D,VALDEZ D.
1054,2022,D,BENAVIDEZ
1055,2022,D,LONTINE
1056,2022,D,MICHAELSON JENET
1057,2022,R,BRADFIELD
1058,2022,D,MULLICA
1059,2022,R,SOPER
1060,2022,D,SIROTA
1061,2022,D,AMABILE
1062,2022,R,MCKEAN
1063,2022,D,AMABILE
1064,2022,D,MULLICA
1065,2022,D,BENAVIDEZ
1066,2022,R,GEITNER
1067,2022,D,WOODROW
1068,2022,D,MCCORMICK
1069,2022,R,BOCKENFELD
1070,2022,D,MCCLUSKIE
1071,2022,D,WOODROW
1072,2022,R,WILL
1073,2022,D,ROBERTS
